row,col,lat,lon,elev
0,0,12.85,80.06,35.0
0,1,12.85,80.068,29.0
0,2,12.85,80.076,28.0
0,3,12.85,80.084,33.0
0,4,12.85,80.092,42.0
0,5,12.85,80.1,34.0
0,6,12.85,80.108,30.0
0,7,12.85,80.116,34.0
0,8,12.85,80.124,32.0
0,9,12.85,80.132,25.0
0,10,12.85,80.14,27.0
0,11,12.85,80.148,23.0
0,12,12.85,80.156,17.0
0,13,12.85,80.164,13.0
0,14,12.85,80.172,14.0
0,15,12.85,80.18,8.0
0,16,12.85,80.188,10.0
0,17,12.85,80.196,12.0
0,18,12.85,80.204,4.0
0,19,12.85,80.212,7.0
0,20,12.85,80.22,6.0
0,21,12.85,80.228,13.0
0,22,12.85,80.236,2.0
0,23,12.85,80.244,7.0
0,24,12.85,80.252,0.0
0,25,12.85,80.26,0.0
0,26,12.85,80.268,0.0
0,27,12.85,80.276,0.0
0,28,12.85,80.284,0.0
0,29,12.85,80.292,0.0
0,30,12.85,80.3,0.0
0,31,12.85,80.308,0.0
0,32,12.85,80.316,0.0
1,0,12.858,80.06,28.0
1,1,12.858,80.068,27.0
1,2,12.858,80.076,33.0
1,3,12.858,80.084,33.0
1,4,12.858,80.092,38.0
1,5,12.858,80.1,34.0
1,6,12.858,80.108,31.0
1,7,12.858,80.116,26.0
1,8,12.858,80.124,38.0
1,9,12.858,80.132,28.0
1,10,12.858,80.14,20.0
1,11,12.858,80.148,20.0
1,12,12.858,80.156,14.0
1,13,12.858,80.164,13.0
1,14,12.858,80.172,12.0
1,15,12.858,80.18,7.0
1,16,12.858,80.188,10.0
1,17,12.858,80.196,9.0
1,18,12.858,80.204,6.0
1,19,12.858,80.212,4.0
1,20,12.858,80.22,3.0
1,21,12.858,80.228,14.0
1,22,12.858,80.236,1.0
1,23,12.858,80.244,5.0
1,24,12.858,80.252,0.0
1,25,12.858,80.26,0.0
1,26,12.858,80.268,0.0
1,27,12.858,80.276,0.0
1,28,12.858,80.284,0.0
1,29,12.858,80.292,0.0
1,30,12.858,80.3,0.0
1,31,12.858,80.308,0.0
1,32,12.858,80.316,0.0
2,0,12.866,80.06,25.0
2,1,12.866,80.068,27.0
2,2,12.866,80.076,38.0
2,3,12.866,80.084,40.0
2,4,12.866,80.092,42.0
2,5,12.866,80.1,40.0
2,6,12.866,80.108,29.0
2,7,12.866,80.116,30.0
2,8,12.866,80.124,24.0
2,9,12.866,80.132,24.0
2,10,12.866,80.14,17.0
2,11,12.866,80.148,20.0
2,12,12.866,80.156,13.0
2,13,12.866,80.164,10.0
2,14,12.866,80.172,12.0
2,15,12.866,80.18,7.0
2,16,12.866,80.188,5.0
2,17,12.866,80.196,5.0
2,18,12.866,80.204,4.0
2,19,12.866,80.212,3.0
2,20,12.866,80.22,8.0
2,21,12.866,80.228,16.0
2,22,12.866,80.236,1.0
2,23,12.866,80.244,8.0
2,24,12.866,80.252,0.0
2,25,12.866,80.26,0.0
2,26,12.866,80.268,0.0
2,27,12.866,80.276,0.0
2,28,12.866,80.284,0.0
2,29,12.866,80.292,0.0
2,30,12.866,80.3,0.0
2,31,12.866,80.308,0.0
2,32,12.866,80.316,0.0
3,0,12.874,80.06,23.0
3,1,12.874,80.068,24.0
3,2,12.874,80.076,30.0
3,3,12.874,80.084,43.0
3,4,12.874,80.092,43.0
3,5,12.874,80.1,35.0
3,6,12.874,80.108,29.0
3,7,12.874,80.116,23.0
3,8,12.874,80.124,20.0
3,9,12.874,80.132,21.0
3,10,12.874,80.14,16.0
3,11,12.874,80.148,14.0
3,12,12.874,80.156,12.0
3,13,12.874,80.164,10.0
3,14,12.874,80.172,10.0
3,15,12.874,80.18,8.0
3,16,12.874,80.188,5.0
3,17,12.874,80.196,4.0
3,18,12.874,80.204,3.0
3,19,12.874,80.212,5.0
3,20,12.874,80.22,8.0
3,21,12.874,80.228,8.0
3,22,12.874,80.236,4.0
3,23,12.874,80.244,11.0
3,24,12.874,80.252,0.0
3,25,12.874,80.26,0.0
3,26,12.874,80.268,0.0
3,27,12.874,80.276,0.0
3,28,12.874,80.284,0.0
3,29,12.874,80.292,0.0
3,30,12.874,80.3,0.0
3,31,12.874,80.308,0.0
3,32,12.874,80.316,0.0
4,0,12.882,80.06,22.0
4,1,12.882,80.068,30.0
4,2,12.882,80.076,36.0
4,3,12.882,80.084,39.0
4,4,12.882,80.092,50.0
4,5,12.882,80.1,29.0
4,6,12.882,80.108,49.0
4,7,12.882,80.116,24.0
4,8,12.882,80.124,19.0
4,9,12.882,80.132,17.0
4,10,12.882,80.14,15.0
4,11,12.882,80.148,14.0
4,12,12.882,80.156,17.0
4,13,12.882,80.164,15.0
4,14,12.882,80.172,10.0
4,15,12.882,80.18,7.0
4,16,12.882,80.188,7.0
4,17,12.882,80.196,14.0
4,18,12.882,80.204,5.0
4,19,12.882,80.212,2.0
4,20,12.882,80.22,3.0
4,21,12.882,80.228,7.0
4,22,12.882,80.236,3.0
4,23,12.882,80.244,4.0
4,24,12.882,80.252,4.0
4,25,12.882,80.26,0.0
4,26,12.882,80.268,0.0
4,27,12.882,80.276,0.0
4,28,12.882,80.284,0.0
4,29,12.882,80.292,0.0
4,30,12.882,80.3,0.0
4,31,12.882,80.308,0.0
4,32,12.882,80.316,0.0
5,0,12.89,80.06,21.0
5,1,12.89,80.068,29.0
5,2,12.89,80.076,27.0
5,3,12.89,80.084,36.0
5,4,12.89,80.092,79.0
5,5,12.89,80.1,53.0
5,6,12.89,80.108,27.0
5,7,12.89,80.116,23.0
5,8,12.89,80.124,20.0
5,9,12.89,80.132,25.0
5,10,12.89,80.14,23.0
5,11,12.89,80.148,16.0
5,12,12.89,80.156,14.0
5,13,12.89,80.164,11.0
5,14,12.89,80.172,9.0
5,15,12.89,80.18,8.0
5,16,12.89,80.188,11.0
5,17,12.89,80.196,10.0
5,18,12.89,80.204,4.0
5,19,12.89,80.212,2.0
5,20,12.89,80.22,3.0
5,21,12.89,80.228,8.0
5,22,12.89,80.236,8.0
5,23,12.89,80.244,2.0
5,24,12.89,80.252,5.0
5,25,12.89,80.26,0.0
5,26,12.89,80.268,0.0
5,27,12.89,80.276,0.0
5,28,12.89,80.284,0.0
5,29,12.89,80.292,0.0
5,30,12.89,80.3,0.0
5,31,12.89,80.308,0.0
5,32,12.89,80.316,0.0
6,0,12.898,80.06,20.0
6,1,12.898,80.068,27.0
6,2,12.898,80.076,23.0
6,3,12.898,80.084,30.0
6,4,12.898,80.092,32.0
6,5,12.898,80.1,37.0
6,6,12.898,80.108,36.0
6,7,12.898,80.116,29.0
6,8,12.898,80.124,24.0
6,9,12.898,80.132,23.0
6,10,12.898,80.14,18.0
6,11,12.898,80.148,18.0
6,12,12.898,80.156,19.0
6,13,12.898,80.164,13.0
6,14,12.898,80.172,16.0
6,15,12.898,80.18,12.0
6,16,12.898,80.188,5.0
6,17,12.898,80.196,5.0
6,18,12.898,80.204,3.0
6,19,12.898,80.212,2.0
6,20,12.898,80.22,2.0
6,21,12.898,80.228,6.0
6,22,12.898,80.236,3.0
6,23,12.898,80.244,4.0
6,24,12.898,80.252,11.0
6,25,12.898,80.26,0.0
6,26,12.898,80.268,0.0
6,27,12.898,80.276,0.0
6,28,12.898,80.284,0.0
6,29,12.898,80.292,0.0
6,30,12.898,80.3,0.0
6,31,12.898,80.308,0.0
6,32,12.898,80.316,0.0
7,0,12.906,80.06,18.0
7,1,12.906,80.068,21.0
7,2,12.906,80.076,20.0
7,3,12.906,80.084,26.0
7,4,12.906,80.092,31.0
7,5,12.906,80.1,20.0
7,6,12.906,80.108,25.0
7,7,12.906,80.116,35.0
7,8,12.906,80.124,27.0
7,9,12.906,80.132,33.0
7,10,12.906,80.14,24.0
7,11,12.906,80.148,25.0
7,12,12.906,80.156,20.0
7,13,12.906,80.164,20.0
7,14,12.906,80.172,11.0
7,15,12.906,80.18,9.0
7,16,12.906,80.188,12.0
7,17,12.906,80.196,15.0
7,18,12.906,80.204,4.0
7,19,12.906,80.212,2.0
7,20,12.906,80.22,4.0
7,21,12.906,80.228,9.0
7,22,12.906,80.236,3.0
7,23,12.906,80.244,2.0
7,24,12.906,80.252,9.0
7,25,12.906,80.26,0.0
7,26,12.906,80.268,0.0
7,27,12.906,80.276,0.0
7,28,12.906,80.284,0.0
7,29,12.906,80.292,0.0
7,30,12.906,80.3,0.0
7,31,12.906,80.308,0.0
7,32,12.906,80.316,0.0
8,0,12.914,80.06,17.0
8,1,12.914,80.068,20.0
8,2,12.914,80.076,20.0
8,3,12.914,80.084,24.0
8,4,12.914,80.092,24.0
8,5,12.914,80.1,21.0
8,6,12.914,80.108,26.0
8,7,12.914,80.116,29.0
8,8,12.914,80.124,32.0
8,9,12.914,80.132,25.0
8,10,12.914,80.14,25.0
8,11,12.914,80.148,31.0
8,12,12.914,80.156,23.0
8,13,12.914,80.164,14.0
8,14,12.914,80.172,18.0
8,15,12.914,80.18,15.0
8,16,12.914,80.188,14.0
