point_id,location_name,location_type,latitude,longitude,elevation_m,terrain_classification,source
CHE-ELEV-0001,Zone 1 - Thiruvottiyur,Zone Centroid,13.16,80.3,10.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0002,Zone 2 - Manali Industrial Basin,Low Basin,13.167,80.26,9.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0003,Zone 3 - Madhavaram,Zone Centroid,13.149,80.231,10.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0004,Zone 4 - Tondiarpet Coastal,Coastal Zone,13.128,80.289,10.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0005,Zone 5 - Royapuram / Port,Harbor Fringe,13.109,80.294,13.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0006,Zone 6 - Thiru-Vi-Ka Nagar / Otteri,Zone Centroid,13.107,80.243,9.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0007,Zone 7 - Ambattur,Zone Centroid,13.114,80.154,22.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0008,Zone 8 - Anna Nagar,Urban Core,13.085,80.21,15.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0009,Zone 9 - Teynampet / Central,Urban Core,13.041,80.25,13.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0010,Zone 10 - Kodambakkam,Zone Centroid,13.052,80.225,16.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0011,Zone 11 - Valasaravakkam,Zone Centroid,13.04,80.173,17.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0012,Zone 12 - Alandur / St Thomas Mt,Transit Hub,12.997,80.201,16.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0013,Zone 13 - Adyar Estuary,River Estuary,13.006,80.257,13.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0014,Zone 14 - Perungudi / Marsh Buffer,Marsh Buffer,12.965,80.243,7.0,Low-Lying Plain (4-8m) - High Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0015,Zone 15 - Sholinganallur / OMR,IT Corridor,12.901,80.228,9.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0016,Velachery Lake Low Basin,Chronic Flood Basin,12.98,80.222,10.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0017,Pallikaranai Marsh Wetland,Natural Sink,12.935,80.218,3.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0018,Mudichur Basin (Adyar upstream),Vulnerable Lowland,12.908,80.071,25.0,Elevated Ridge / Upland (>25m) - Minimal Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0019,Pulianthope Basin,Otteri Catchment,13.098,80.268,6.0,Low-Lying Plain (4-8m) - High Risk,Copernicus GLO-90 DEM (Open-Meteo)
