row,col,lat,lon,elevation_m,flow_accumulation_cells,catchment_km2,twi,slope_deg
0,0,12.85,80.06,35.0,1.0,0.7522,11.59,0.462
0,1,12.85,80.068,29.0,1.0,0.7522,12.84,0.132
0,2,12.85,80.076,28.0,6.0,4.5131,15.46,0.047
0,3,12.85,80.084,33.0,2.0,1.5044,12.61,0.33
0,4,12.85,80.092,42.0,1.0,0.7522,11.33,0.595
0,5,12.85,80.1,34.0,1.0,0.7522,12.14,0.264
0,6,12.85,80.108,30.0,2.0,1.5044,13.18,0.187
0,7,12.85,80.116,34.0,1.0,0.7522,11.45,0.528
0,8,12.85,80.124,32.0,1.0,0.7522,11.59,0.462
0,9,12.85,80.132,25.0,2.0,1.5044,12.96,0.234
0,10,12.85,80.14,27.0,1.0,0.7522,11.59,0.462
0,11,12.85,80.148,23.0,1.0,0.7522,11.68,0.42
0,12,12.85,80.156,17.0,1.0,0.7522,12.14,0.264
0,13,12.85,80.164,13.0,2.0,1.5044,14.37,0.047
0,14,12.85,80.172,14.0,1.0,0.7522,11.74,0.396
0,15,12.85,80.18,8.0,2.0,1.5044,14.22,0.066
0,16,12.85,80.188,10.0,1.0,0.7522,12.78,0.14
0,17,12.85,80.196,12.0,1.0,0.7522,11.45,0.528
0,18,12.85,80.204,4.0,2.0,1.5044,14.37,0.05
0,19,12.85,80.212,7.0,3.0,2.2565,13.53,0.198
0,20,12.85,80.22,6.0,1.0,0.7522,12.43,0.198
0,21,12.85,80.228,13.0,1.0,0.7522,11.13,0.727
0,22,12.85,80.236,2.0,2.0,1.5044,14.22,0.066
0,23,12.85,80.244,7.0,1.0,0.7522,11.59,0.462
0,24,12.85,80.252,0.0,2.0,1.5044,14.37,0.05
0,25,12.85,80.26,0.0,3.0,2.2565,14.77,0.05
0,26,12.85,80.268,0.0,4.0,3.0087,15.06,0.05
0,27,12.85,80.276,0.0,5.0,3.7609,15.28,0.05
0,28,12.85,80.284,0.0,6.0,4.5131,15.46,0.05
0,29,12.85,80.292,0.0,7.0,5.2652,15.62,0.05
0,30,12.85,80.3,0.0,8.0,6.0174,15.75,0.05
0,31,12.85,80.308,0.0,9.0,6.7696,15.87,0.05
0,32,12.85,80.316,0.0,10.0,7.5218,15.98,0.05
