event_id,event_date,event_name,location_name,zone_no,zone_name,latitude,longitude,flood_occurred,water_level_m,water_level_feet,rainfall_24h_mm,peak_intensity_mm_hr,severity_class,source_reference
CHE-FLD-001,2023-12-04,Cyclone Michaung,Velachery (Ram Nagar & AGS Colony),13,Adyar,12.982,80.219,1,1.95,6.4,468.0,55.0,Catastrophic,GCC Disaster Cell / TNSDMA Michaung Report 2023
CHE-FLD-002,2023-12-04,Cyclone Michaung,Velachery 100-ft Bypass Road (Phoenix Mall Basin),13,Adyar,12.991,80.217,1,1.6,5.25,468.0,55.0,Catastrophic,GCC Ward 177 Disaster Assessment
CHE-FLD-003,2023-12-04,Cyclone Michaung,Velachery (Tansi Nagar & Lake View Road),13,Adyar,12.975,80.224,1,1.8,5.91,465.0,54.0,Catastrophic,Field Hydrology Survey / State SEOC
CHE-FLD-004,2021-11-07,November 2021 Monsoon,Velachery (AGS Colony / Baby Nagar),13,Adyar,12.981,80.22,1,1.15,3.77,218.0,36.0,High,GCC SWD Inundation Census 2021
CHE-FLD-005,2020-11-25,Cyclone Nivar,Velachery (Dhandeeswaram Nagar Lowlands),13,Adyar,12.978,80.218,1,0.85,2.79,182.0,29.0,Moderate-High,TNSDMA Cyclone Nivar Assessment
CHE-FLD-006,2015-12-01,December 2015 Flood,Velachery (Entire Basin / Ram Nagar & Bypass),13,Adyar,12.98,80.222,1,2.75,9.02,480.0,59.0,Catastrophic,CWC / IMD Dec 2015 Technical Assessment
CHE-FLD-007,2023-12-04,Cyclone Michaung,Meenambakkam (Airport Secondary Runway Culvert),12,Alandur,12.994,80.178,1,1.1,3.61,445.0,52.0,Severe,AAI / DGCA Airport Inundation Log 2023
CHE-FLD-008,2023-12-04,Cyclone Michaung,Meenambakkam (Pazhavanthangal Railway Subway),12,Alandur,12.988,80.187,1,2.3,7.55,445.0,52.0,Catastrophic,GCC Subway Inundation Status Report
CHE-FLD-009,2021-11-07,November 2021 Monsoon,Meenambakkam (GST Road Airport Metro Base),12,Alandur,12.992,80.182,1,0.65,2.13,210.0,34.0,Moderate,Highways Dept Waterlogging Log
CHE-FLD-010,2020-11-25,Cyclone Nivar,Meenambakkam (Airports Authority Residential Colony),12,Alandur,12.996,80.175,1,0.7,2.3,178.0,27.0,Moderate,TNSDMA Alandur Ward Log
CHE-FLD-011,2015-12-01,December 2015 Flood,Meenambakkam (Chennai International Airport Runway Submergence),12,Alandur,12.994,80.18,1,2.4,7.87,490.0,61.0,Catastrophic,Ministry of Civil Aviation Official Flood Log Dec 2015
CHE-FLD-012,2023-12-04,Cyclone Michaung,Sholinganallur Junction (OMR - Medavakkam Link Road),15,Sholinganallur,12.901,80.228,1,1.45,4.76,435.0,50.0,Severe,GCC Ward 197 Disaster Cell
CHE-FLD-013,2023-12-04,Cyclone Michaung,Sholinganallur (ELCOT SEZ / Wipro Campus Basin),15,Sholinganallur,12.908,80.222,1,1.65,5.41,435.0,50.0,Catastrophic,ELCOT Facility Disaster Report
CHE-FLD-014,2023-12-04,Cyclone Michaung,Sholinganallur - Semmancheri (Tsunami Quarters / DLF Garden City),15,Sholinganallur,12.871,80.223,1,1.75,5.74,430.0,49.0,Catastrophic,TNSDMA Flooding Atlas 2023
CHE-FLD-015,2021-11-07,November 2021 Monsoon,Sholinganallur (Karapakkam OMR Canal Crossing),15,Sholinganallur,12.918,80.231,1,0.95,3.12,205.0,31.0,Moderate-High,GCC SWD Inundation Census
CHE-FLD-016,2022-12-09,Cyclone Mandous,Sholinganallur (Buckingham Canal Overflow / Uthandi link),15,Sholinganallur,12.862,80.235,1,0.8,2.62,175.0,28.0,Moderate,State Coastal Disaster Log
CHE-FLD-017,2015-12-01,December 2015 Flood,Sholinganallur (OMR Entire Corridor & Marsh Overflow),15,Sholinganallur,12.901,80.228,1,2.2,7.22,475.0,58.0,Catastrophic,MHA Inter-ministerial Team Assessment
CHE-FLD-018,2023-12-04,Cyclone Michaung,Nungambakkam (Sterling Road / Loyola College Subway),9,Teynampet,13.064,80.237,1,1.4,4.59,425.0,51.0,Severe,GCC Central Region Flood Log
