road_id,osm_way_id,edge_id,start_node_id,end_node_id,node_degree,length_m,event_date,event_name,rain_3h,rain_24h,elevation,slope,hand,dist_to_drain_m,flow_accumulation,catchment_km2,twi,drainage_density,dist_to_water_body_m,nearest_water_body_name,nearest_water_body_type,built_up,flood_history,target,data_limited,road_name,highway_type,lat,lon,geometry
road-4717427,4717427,edge-4717427-2271543426-303283585,node-2271543426,node-303283585,4,451.22,2015-12-01,December 2015 Flood,161.0,460.0,6.29,0.2936,-1.91,239.3,29.0,21.8131,17.04,671.9056,484.9,Unnamed Pond (wb-way-241414216),pond,16,0,0,0,Muthuswamy Road,primary,13.0843722,80.28337542,POINT (80.283375 13.084372)
road-4719038,4719038,edge-4719038-247688120-247688118,node-247688120,node-247688118,3,60.06,2015-12-01,December 2015 Flood,172.9,494.0,13.01,0.1216,3.01,942.8,26.0,19.5566,16.93,0.0,877.2,Balasubramani Temple Tank,pond,31,0,0,0,Unnamed Road,secondary_link,13.0386923,80.25742158,POINT (80.257422 13.038692)
road-4719090,4719090,edge-4719090-30051696-2197121274,node-30051696,node-2197121274,4,276.45,2015-12-01,December 2015 Flood,172.9,494.0,12.97,0.1342,2.97,811.1,25.0,18.8044,16.89,0.0,769.3,Balasubramani Temple Tank,pond,16,0,0,0,CV Raman Road,secondary,13.03498108,80.25555858,POINT (80.255559 13.034981)
road-4748345,4748345,edge-4748345-277394114-277394117,node-277394114,node-277394117,4,771.93,2015-12-01,December 2015 Flood,172.9,494.0,15.29,0.1138,-0.11,664.9,18.0,13.5392,16.56,0.0,331.9,Krishna Nagar Pond,pond,2,0,0,0,Kaliamman Koil Street,secondary,13.052410426086958,80.19246544347826,POINT (80.192465 13.052410)
road-4748353,4748353,edge-4748353-13736823435-13736823432,node-13736823435,node-13736823432,1,312.04,2015-12-01,December 2015 Flood,172.9,494.0,14.19,0.1286,-0.01,814.0,19.0,14.2913,16.62,0.0,543.8,Unnamed Wetland (wb-way-102667270),wetland,8,0,0,0,Unnamed Road,primary_link,13.068768971428572,80.20717471428573,POINT (80.207175 13.068769)
road-22660989,22660989,edge-22660989-243049719-264481139,node-243049719,node-264481139,3,580.26,2015-12-01,December 2015 Flood,172.9,494.0,12.79,0.11,1.59,289.8,24.0,18.0522,16.85,957.1928,609.1,Unnamed Reservoir (wb-way-217688012),reservoir,5,1,0,0,Haddows Road,primary,13.06598430952381,80.24783465714286,POINT (80.247835 13.065984)
road-22661174,22661174,edge-22661174-243051711-249497719,node-243051711,node-249497719,3,378.53,2015-12-01,December 2015 Flood,172.9,494.0,10.85,0.2731,0.85,461.7,26.0,19.5566,16.93,0.0,718.8,Whale Island,wetland,24,0,0,0,Durgabai Deshmukh Road,primary,13.009880661538462,80.25904365384615,POINT (80.259044 13.009881)
road-22661463,22661463,edge-22661463-249798463-303008051,node-249798463,node-303008051,4,797.86,2015-12-01,December 2015 Flood,172.9,494.0,12.81,0.1342,1.61,571.0,25.0,18.8044,16.89,0.0,331.3,Balasubramani Temple Tank,pond,4,0,0,0,Kavingar Bharathidasan Road,secondary,13.03536244736842,80.2497688,POINT (80.249769 13.035362)
road-22661900,22661900,edge-22661900-243066058-310729326,node-243066058,node-310729326,4,122.56,2015-12-01,December 2015 Flood,172.9,494.0,5.01,0.3513,-3.79,162.1,29.0,21.8131,17.04,0.0,449.7,Parthasarathy Temple Pond,pond,6,0,0,0,Besant Road,secondary,13.050637957142857,80.28044064285714,POINT (80.280441 13.050638)
road-22688181,22688181,edge-22688181-243064550-264031433,node-243064550,node-264031433,5,178.52,2015-12-01,December 2015 Flood,172.9,494.0,11.91,0.2625,2.51,465.7,27.0,20.3088,16.97,0.0,500.2,Unnamed Pond (wb-way-208578468),pond,13,0,0,0,RK Mutt Road,secondary,13.02859354,80.2663371,POINT (80.266337 13.028594)
road-22688293,22688293,edge-22688293-319472527-12478019975,node-319472527,node-12478019975,4,32.06,2015-12-01,December 2015 Flood,172.9,494.0,12.49,0.2936,1.89,45.4,25.0,18.8044,16.89,452.0869,1279.6,Unnamed Reservoir (wb-way-217688012),reservoir,35,0,0,0,Unnamed Road,secondary,13.066802599999999,80.25425125,POINT (80.254251 13.066803)
road-22688331,22688331,edge-22688331-30268464-13067792374,node-30268464,node-13067792374,3,715.61,2015-12-01,December 2015 Flood,172.9,494.0,9.87,0.1668,-2.53,777.4,22.0,16.5479,16.76,0.0,219.9,Unnamed Pond (wb-way-1459251545),pond,4,0,0,0,Sardar Patel Road,primary,13.0085525,80.23182437777778,POINT (80.231824 13.008553)
road-22688386,22688386,edge-22688386-249112798-325207488,node-249112798,node-325207488,4,468.55,2015-12-01,December 2015 Flood,168.0,480.0,11.79,0.192,1.79,275.0,3.0,2.2565,13.59,2305.5414,450.1,Velachery Lake,lake,16,1,0,0,Velachery Bypass Road,primary,12.98941905,80.21890969,POINT (80.218910 12.989419)
road-22688411,22688411,edge-22688411-367805779-12129327899,node-367805779,node-12129327899,2,769.44,2015-12-01,December 2015 Flood,172.9,494.0,14.54,0.2022,0.94,339.8,19.0,14.2913,16.62,1493.6713,1405.0,Prasanna Venkatesa Perumal Koil Kulam,pond,5,1,0,0,Inner Ring Road,primary,13.017288415789473,80.20543707894736,POINT (80.205437 13.017288)
road-22688495,22688495,edge-22688495-243066459-243066466,node-243066459,node-243066466,7,520.84,2015-12-01,December 2015 Flood,172.9,494.0,13.31,0.3513,3.31,1317.0,26.0,19.5566,16.93,0.0,835.2,Unnamed Pond (wb-way-1321929236),pond,10,0,0,0,Goudia Mutt Road,secondary,13.050004353333334,80.26236348666666,POINT (80.262363 13.050004)
road-22688499,22688499,edge-22688499-243066455-13542719421,node-243066455,node-13542719421,2,243.93,2015-12-01,December 2015 Flood,172.9,494.0,12.98,0.3513,3.58,1187.7,26.0,19.5566,16.93,0.0,819.0,Unnamed Pond (wb-way-1321929236),pond,27,0,0,0,TTK Road,secondary,13.044211328571427,80.25973218571428,POINT (80.259732 13.044211)
road-22744581,22744581,edge-22744581-30142985-5793660751,node-30142985,node-5793660751,4,7.98,2015-12-01,December 2015 Flood,166.25,475.0,5.01,0.2596,2.01,932.7,1.0,0.7522,12.84,0.0,466.8,Kalappai Keni,pond,7,0,0,0,Kalaingar Karunanidhi Salai,primary,12.8976292,80.24743975,POINT (80.247440 12.897629)
road-22922908,22922908,edge-22922908-2212827590-2212827519,node-2212827590,node-2212827519,4,1955.28,2015-12-01,December 2015 Flood,172.9,494.0,9.62,0.1668,-2.18,658.8,24.0,18.0522,16.85,0.0,529.2,Unnamed Pond (wb-way-211900075),pond,2,1,1,0,Gandhi Mandapam Road,secondary,13.015237918518519,80.24105874814815,POINT (80.241059 13.015238)
road-22923081,22923081,edge-22923081-3216996445-9502019376,node-3216996445,node-9502019376,2,386.28,2015-12-01,December 2015 Flood,172.9,494.0,11.44,0.194,2.04,193.2,27.0,20.3088,16.97,3046.5857,329.2,Unnamed Reservoir (wb-way-211638794),reservoir,16,0,0,0,RK Mutt Road,secondary,13.023791486666665,80.26437770000001,POINT (80.264378 13.023791)
road-22923083,22923083,edge-22923083-243064543-9502019360,node-243064543,node-9502019360,3,138.16,2015-12-01,December 2015 Flood,172.9,494.0,10.7,0.194,0.7,37.4,26.0,19.5566,16.93,1225.8405,278.6,Unnamed Reservoir (wb-way-211638794),reservoir,16,0,0,0,RK Mutt Road,secondary,13.020930325,80.2628846,POINT (80.262885 13.020930)
road-22923097,22923097,edge-22923097-9502019360-264040510,node-9502019360,node-264040510,2,121.74,2015-12-01,December 2015 Flood,172.9,494.0,10.75,0.194,0.75,80.8,26.0,19.5566,16.93,1225.8405,258.5,Unnamed Reservoir (wb-way-211638794),reservoir,14,0,0,0,RK Mutt Road,secondary,13.0218503,80.263224575,POINT (80.263225 13.021850)
road-22936525,22936525,edge-22936525-247074862-247075066,node-247074862,node-247075066,2,181.87,2015-12-01,December 2015 Flood,172.9,494.0,12.25,0.1342,-0.15,331.8,23.0,17.3001,16.81,1742.069,469.9,Unnamed Pond (wb-way-127574716),pond,17,0,0,0,4th Main Road,secondary,13.027776600000001,80.2321319,POINT (80.232132 13.027777)
road-22936551,22936551,edge-22936551-247074863-9412787736,node-247074863,node-9412787736,3,217.82,2015-12-01,December 2015 Flood,172.9,494.0,12.23,0.1342,-0.17,303.9,22.0,16.5479,16.76,2155.4526,464.6,Unnamed Pond (wb-way-127574716),pond,20,0,0,0,1st Main Road,secondary,13.027114511111112,80.23110867777778,POINT (80.231109 13.027115)
road-22965040,22965040,edge-22965040-338720802-832908198,node-338720802,node-832908198,3,26.59,2015-12-01,December 2015 Flood,172.9,494.0,14.97,0.1286,0.77,177.2,19.0,14.2913,16.62,31967.9139,468.8,Unnamed Pond (wb-way-217802640),pond,44,0,0,0,Unnamed Road,primary_link,13.076247066666667,80.201413,POINT (80.201413 13.076247)
road-22965159,22965159,edge-22965159-247437530-247437529,node-247437530,node-247437529,4,367.64,2015-12-01,December 2015 Flood,172.9,494.0,8.71,0.2962,-0.09,231.3,28.0,21.0609,17.0,2296.1195,222.2,Unnamed Pond (wb-way-83075012),pond,20,0,0,0,Pallavan Salai,secondary,13.0754468,80.2763955857143,POINT (80.276396 13.075447)
road-22965268,22965268,edge-22965268-310505827-247438584,node-310505827,node-247438584,4,366.94,2015-12-01,December 2015 Flood,161.0,460.0,6.63,0.2936,-2.17,587.0,29.0,21.8131,17.04,0.0,159.3,Chennamalleshwarar Perumal Koil Kulam,pond,14,0,0,0,Rattan Bazaar Road,secondary,13.087899465217392,80.28174236086957,POINT (80.281742 13.087899)
road-22965366,22965366,edge-22965366-247438584-310505387,node-247438584,node-310505387,2,386.09,2015-12-01,December 2015 Flood,161.0,460.0,7.22,0.2936,-0.98,452.5,28.0,21.0609,17.0,451.1981,149.5,Kandaswami Muthukumaraswami Koil Kulam,pond,17,0,0,0,Evening Bazaar Road,secondary,13.084915055555555,80.2797079,POINT (80.279708 13.084915)
road-22965367,22965367,edge-22965367-258916741-254121985,node-258916741,node-254121985,4,252.69,2015-12-01,December 2015 Flood,161.0,460.0,7.66,0.7382,0.06,364.5,29.0,21.8131,17.04,262.7038,384.2,Malligeshwarar Temple Reservoir,reservoir,3,0,0,0,Broadway Road,secondary,13.097303675,80.28653825,POINT (80.286538 13.097304)
