station_name,zone,latitude,longitude,datetime_utc,rainfall_mm,precipitation_probability_pct,intensity_class,weather_code
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T00:00,0.0,34,No Rain,1
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T01:00,0.0,45,No Rain,1
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T02:00,0.0,49,No Rain,2
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T03:00,0.0,42,No Rain,2
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T04:00,0.0,29,No Rain,2
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T05:00,0.0,18,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T06:00,0.0,10,No Rain,2
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T07:00,0.0,4,No Rain,2
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T08:00,0.0,0,No Rain,1
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T09:00,0.0,0,No Rain,1
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T10:00,0.0,3,No Rain,1
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T11:00,0.0,8,No Rain,1
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T12:00,0.0,18,No Rain,1
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T13:00,0.0,30,No Rain,2
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T14:00,0.0,41,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T15:00,0.3,50,Light Rain,95
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T16:00,0.2,57,Light Rain,51
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T17:00,0.0,57,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T18:00,0.0,42,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T19:00,0.0,20,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T20:00,0.0,6,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T21:00,0.0,7,No Rain,2
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T22:00,0.0,16,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-09T23:00,0.4,29,Light Rain,51
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T00:00,0.5,48,Light Rain,95
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T01:00,3.0,71,Moderate Rain,95
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T02:00,0.2,84,Light Rain,51
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T03:00,0.0,78,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T04:00,0.0,61,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T05:00,0.0,45,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T06:00,0.0,32,No Rain,2
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T07:00,0.0,20,No Rain,2
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T08:00,0.0,12,No Rain,2
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T09:00,0.0,9,No Rain,1
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T10:00,0.0,10,No Rain,2
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T11:00,0.1,16,Light Rain,51
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T12:00,0.1,33,Light Rain,51
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T13:00,1.8,55,Light Rain,95
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T14:00,2.9,71,Moderate Rain,95
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T15:00,0.0,76,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T16:00,0.0,75,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T17:00,0.0,69,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T18:00,0.0,55,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T19:00,0.0,37,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T20:00,0.0,25,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T21:00,0.0,25,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T22:00,0.0,33,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-10T23:00,0.3,41,Light Rain,51
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-11T00:00,1.0,52,Light Rain,55
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-11T01:00,0.6,65,Light Rain,53
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-11T02:00,0.1,69,Light Rain,51
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-11T03:00,0.0,59,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-11T04:00,0.0,41,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-11T05:00,0.0,25,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-11T06:00,0.0,15,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-11T07:00,0.0,7,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-11T08:00,0.0,2,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-11T09:00,0.0,0,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-11T10:00,0.0,0,No Rain,3
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-11T11:00,0.1,0,Light Rain,51
Nungambakkam (Central),Zone 9 - Teynampet,13.061,80.244,2026-09-11T12:00,0.0,6,No Rain,3
