edge_id,osm_way_id,start_node_id,end_node_id,name,highway,length_m,lanes,oneway,node_count,start_lat,start_lon,end_lat,end_lon
edge-4717427-2271543426-303283585,4717427,node-2271543426,node-303283585,Muthuswamy Road,primary,451.22,,yes,5,13.0852831,80.2844352,13.082277,80.2817846
edge-4719038-247688120-247688118,4719038,node-247688120,node-247688118,Unnamed Road,secondary_link,60.06,,yes,5,13.0387094,80.2577323,13.0386236,80.2572037
edge-4719090-30051696-2197121274,4719090,node-30051696,node-2197121274,CV Raman Road,secondary,276.45,,yes,5,13.0350631,80.254416,13.0348777,80.2569604
edge-4748345-277394114-277394117,4748345,node-277394114,node-277394117,Kaliamman Koil Street,secondary,771.93,,yes,23,13.0557089,80.1934851,13.0490302,80.1921449
edge-4748353-13736823435-13736823432,4748353,node-13736823435,node-13736823432,Unnamed Road,primary_link,312.04,,yes,7,13.0693812,80.2060152,13.0678945,80.2083142
edge-22660989-243049719-264481139,22660989,node-243049719,node-264481139,Haddows Road,primary,580.26,,yes,21,13.0679245,80.2477466,13.0627957,80.2476733
edge-22661174-243051711-249497719,22661174,node-243051711,node-249497719,Durgabai Deshmukh Road,primary,378.53,,yes,13,13.0082519,80.2589687,13.0116503,80.2590537
edge-22661463-249798463-303008051,22661463,node-249798463,node-303008051,Kavingar Bharathidasan Road,secondary,797.86,,no,19,13.0351525,80.2535574,13.0355603,80.2462047
edge-22661900-243066058-310729326,22661900,node-243066058,node-310729326,Besant Road,secondary,122.56,,yes,7,13.0505402,80.2798381,13.0507958,80.2808947
edge-22688181-243064550-264031433,22688181,node-243064550,node-264031433,RK Mutt Road,secondary,178.52,,no,5,13.0292597,80.2664844,13.0276854,80.2661747
edge-22688293-319472527-12478019975,22688293,node-319472527,node-12478019975,Unnamed Road,secondary,32.06,,yes,4,13.066892,80.2543613,13.0667061,80.2541352
edge-22688331-30268464-13067792374,22688331,node-30268464,node-13067792374,Sardar Patel Road,primary,715.61,2,yes,9,13.0091943,80.2286092,13.0079159,80.2350822
edge-22688386-249112798-325207488,22688386,node-249112798,node-325207488,Velachery Bypass Road,primary,468.55,2,yes,10,12.9914386,80.2196271,12.9874273,80.2183524
edge-22688411-367805779-12129327899,22688411,node-367805779,node-12129327899,Inner Ring Road,primary,769.44,,yes,19,13.0145882,80.20455,13.0212393,80.2062902
edge-22688495-243066459-243066466,22688495,node-243066459,node-243066466,Goudia Mutt Road,secondary,520.84,,yes,15,13.0482192,80.2616175,13.0522924,80.2637854
edge-22688499-243066455-13542719421,22688499,node-243066455,node-13542719421,TTK Road,secondary,243.93,2,yes,7,13.0453213,80.2598607,13.0431488,80.2595743
edge-22744581-30142985-5793660751,22744581,node-30142985,node-5793660751,Kalaingar Karunanidhi Salai,primary,7.98,,yes,2,12.8976224,80.2474759,12.897636,80.2474036
edge-22922908-2212827590-2212827519,22922908,node-2212827590,node-2212827519,Gandhi Mandapam Road,secondary,1955.28,2,yes,27,13.0241214,80.2431284,13.0069116,80.2403241
edge-22923081-3216996445-9502019376,22923081,node-3216996445,node-9502019376,RK Mutt Road,secondary,386.28,,yes,15,13.0253858,80.2654342,13.0224196,80.2635977
edge-22923083-243064543-9502019360,22923083,node-243064543,node-9502019360,RK Mutt Road,secondary,138.16,,yes,4,13.0202745,80.2626659,13.0214597,80.2630463
edge-22923097-9502019360-264040510,22923097,node-9502019360,node-264040510,RK Mutt Road,secondary,121.74,,yes,4,13.0214597,80.2630463,13.0224554,80.2635126
edge-22936525-247074862-247075066,22936525,node-247074862,node-247075066,4th Main Road,secondary,181.87,,yes,6,13.0276423,80.2311871,13.0279325,80.2328321
edge-22936551-247074863-9412787736,22936551,node-247074863,node-9412787736,1st Main Road,secondary,217.82,,yes,9,13.0260918,80.2313679,13.0279977,80.2309273
edge-22965040-338720802-832908198,22965040,node-338720802,node-832908198,Unnamed Road,primary_link,26.59,1,yes,3,13.0762716,80.201542,13.0762401,80.2013033
edge-22965159-247437530-247437529,22965159,node-247437530,node-247437529,Pallavan Salai,secondary,367.64,,yes,7,13.0770794,80.276291,13.0737818,80.2764982
edge-22965268-310505827-247438584,22965268,node-310505827,node-247438584,Rattan Bazaar Road,secondary,366.94,,yes,23,13.0883111,80.282541,13.0858418,80.280899
edge-22965366-247438584-310505387,22965366,node-247438584,node-310505387,Evening Bazaar Road,secondary,386.09,,yes,9,13.0858418,80.280899,13.0833505,80.2790026
edge-22965367-258916741-254121985,22965367,node-258916741,node-254121985,Broadway Road,secondary,252.69,,no,4,13.0962443,80.2864484,13.09851,80.286621
edge-22965414-310505822-310505815,22965414,node-310505822,node-310505815,Evening Bazaar Road,secondary,349.48,,yes,11,13.0837083,80.2790854,13.0858803,80.2808012
edge-22976125-246825437-30051249,22976125,node-246825437,node-30051249,Pasumpon Muthuramalingar Thevar Salai,secondary,474.74,2,yes,10,13.0271502,80.2537843,13.0287832,80.2497725
edge-22976288-1975496454-1975496644,22976288,node-1975496454,node-1975496644,Tank Bund Road,secondary,741.29,,yes,22,13.0568463,80.2426311,13.0610778,80.23743
edge-22976312-13848420368-248680296,22976312,node-13848420368,node-248680296,McNichols Road,primary,215.82,,yes,8,13.0638173,80.2434969,13.0657569,80.2435436
edge-22976925-245578181-247684974,22976925,node-245578181,node-247684974,Unnamed Road,primary_link,185.96,,yes,11,13.0513046,80.2501962,13.0514975,80.2506815
edge-22977024-247686096-309196366,22977024,node-247686096,node-309196366,Unnamed Road,primary_link,191.02,,yes,10,13.0525591,80.2509799,13.0534712,80.2524552
edge-22977044-302897298-302897388,22977044,node-302897298,node-302897388,Cathedral Road,primary,858.98,,yes,19,13.0518475,80.251522,13.0461954,80.256491
edge-22977045-247686096-247686447,22977045,node-247686096,node-247686447,Unnamed Road,primary_link,114.95,,yes,8,13.0525591,80.2509799,13.0516892,80.2508314
edge-22977106-309196366-30037891,22977106,node-309196366,node-30037891,Anna Salai (Mount Road),primary,745.18,,yes,21,13.0534712,80.2524552,13.0577844,80.2576907
edge-22977109-30037868-9412787735,22977109,node-30037868,node-9412787735,Anna Salai (Mount Road),primary,442.62,,yes,20,13.0187266,80.2244405,13.0221111,80.226294
edge-22977127-309196369-302897298,22977127,node-309196369,node-302897298,Unnamed Road,primary_link,238.19,,yes,8,13.0533907,80.2525012,13.0518475,80.251522
edge-22977180-247687820-247687711,22977180,node-247687820,node-247687711,Alwarpet Flyover,secondary,13.91,,yes,2,13.0355274,80.2569984,13.035403,80.2570117
edge-22977209-1685049660-12717801276,22977209,node-1685049660,node-12717801276,TTK Road,secondary,250.34,,yes,7,13.0408597,80.2583486,13.0428361,80.2594332
