node_id,osm_node_id,latitude,longitude,degree,is_intersection,node_type,city
node-247684044,247684044,13.00554,80.109803,0,0,terminal,Chennai
node-247684045,247684045,13.005471,80.10955,0,0,terminal,Chennai
node-247684046,247684046,13.005406,80.108782,0,0,terminal,Chennai
node-247684047,247684047,13.005295,80.106667,0,0,terminal,Chennai
node-247684048,247684048,13.005238,80.106159,0,0,terminal,Chennai
node-347357504,347357504,13.005446,80.10939,0,0,terminal,Chennai
node-3870697969,3870697969,13.005281,80.106484,0,0,terminal,Chennai
node-3870703177,3870703177,13.004895,80.104683,1,0,terminal,Chennai
node-3883401716,3883401716,13.00537,80.108186,0,0,terminal,Chennai
node-3889705608,3889705608,13.005172,80.105818,0,0,terminal,Chennai
node-3917148678,3917148678,13.005312,80.106868,0,0,terminal,Chennai
node-7791116266,7791116266,13.005595,80.109782,0,0,terminal,Chennai
node-7791116267,7791116267,13.005528,80.109537,0,0,terminal,Chennai
node-7791116268,7791116268,13.005506,80.109386,0,0,terminal,Chennai
node-7791116269,7791116269,13.005464,80.108778,0,0,terminal,Chennai
node-7791116270,7791116270,13.005429,80.108183,0,0,terminal,Chennai
node-7791116271,7791116271,13.00537,80.106864,0,0,terminal,Chennai
node-7791116272,7791116272,13.005353,80.106662,0,0,terminal,Chennai
node-7791116273,7791116273,13.005339,80.106477,0,0,terminal,Chennai
node-7791116274,7791116274,13.005296,80.10615,0,0,terminal,Chennai
node-7791116275,7791116275,13.005238,80.105813,0,0,terminal,Chennai
node-7791116276,7791116276,13.005119,80.10521,0,0,terminal,Chennai
node-7791116277,7791116277,13.004964,80.104662,1,0,terminal,Chennai
node-7791116278,7791116278,13.005608,80.109942,0,0,terminal,Chennai
node-7791116279,7791116279,13.005062,80.105223,0,0,terminal,Chennai
node-7791350263,7791350263,13.005359,80.10793,0,0,terminal,Chennai
node-7792929338,7792929338,13.00535,80.107723,0,0,terminal,Chennai
node-11648911324,11648911324,13.005368,80.106836,0,0,terminal,Chennai
node-11651921577,11651921577,13.004971,80.104691,0,0,terminal,Chennai
node-11651921582,11651921582,13.005017,80.104869,0,0,terminal,Chennai
node-11651928468,11651928468,13.005287,80.106545,0,0,terminal,Chennai
node-11651980179,11651980179,13.005089,80.105366,0,0,terminal,Chennai
node-11651980187,11651980187,13.00513,80.105588,0,0,terminal,Chennai
node-247684041,247684041,13.006146,80.110714,0,0,terminal,Chennai
node-247684042,247684042,13.005898,80.110344,0,0,terminal,Chennai
node-247684043,247684043,13.005681,80.110066,0,0,terminal,Chennai
node-347357461,347357461,13.006125,80.110547,0,0,terminal,Chennai
node-3895707712,3895707712,13.005826,80.110254,0,0,terminal,Chennai
node-7791116254,7791116254,13.006196,80.110693,0,0,terminal,Chennai
node-7791116262,7791116262,13.005944,80.110306,0,0,terminal,Chennai
node-7791116263,7791116263,13.005871,80.110217,0,0,terminal,Chennai
node-7791116264,7791116264,13.005729,80.110032,0,0,terminal,Chennai
node-7791116265,7791116265,13.00566,80.109913,0,0,terminal,Chennai
node-7791234073,7791234073,13.005912,80.110267,0,0,terminal,Chennai
node-10731671117,10731671117,13.006077,80.110572,0,0,terminal,Chennai
node-332382634,332382634,12.86844,80.13036,2,0,junction,Chennai
node-3881541204,3881541204,12.868853,80.130565,0,0,terminal,Chennai
node-7771793125,7771793125,12.86915,80.130741,0,0,terminal,Chennai
node-7771793129,7771793129,12.868754,80.13052,0,0,terminal,Chennai
node-7771793136,7771793136,12.869293,80.130835,0,0,terminal,Chennai
node-332382635,332382635,12.872789,80.132941,0,0,terminal,Chennai
node-332382636,332382636,12.873826,80.134658,0,0,terminal,Chennai
node-3881541208,3881541208,12.871094,80.132001,0,0,terminal,Chennai
node-3881541212,3881541212,12.870156,80.131386,0,0,terminal,Chennai
node-3881541220,3881541220,12.869809,80.131185,0,0,terminal,Chennai
node-3881541232,3881541232,12.871553,80.132243,0,0,terminal,Chennai
node-3881541234,3881541234,12.871911,80.132457,0,0,terminal,Chennai
node-3881543735,3881543735,12.872737,80.132874,0,0,terminal,Chennai
node-3881543741,3881543741,12.872819,80.132986,0,0,terminal,Chennai
node-3881543754,3881543754,12.873305,80.133815,0,0,terminal,Chennai
node-7771792671,7771792671,12.872301,80.132654,0,0,terminal,Chennai
node-7771792832,7771792832,12.872899,80.133122,0,0,terminal,Chennai
node-7771792904,7771792904,12.873399,80.133986,0,0,terminal,Chennai
node-7771792939,7771792939,12.874085,80.134833,0,0,terminal,Chennai
node-7771792946,7771792946,12.87391,80.134741,0,0,terminal,Chennai
node-7771793120,7771793120,12.869494,80.130971,0,0,terminal,Chennai
node-7771930747,7771930747,12.870034,80.131316,0,0,terminal,Chennai
node-7771930749,7771930749,12.870174,80.131394,0,0,terminal,Chennai
node-11849583994,11849583994,12.87008,80.131344,0,0,terminal,Chennai
node-11849763751,11849763751,12.873247,80.133714,0,0,terminal,Chennai
node-332382637,332382637,12.875082,80.135185,0,0,terminal,Chennai
node-349027522,349027522,12.875646,80.135334,0,0,terminal,Chennai
node-349027523,349027523,12.876261,80.135846,0,0,terminal,Chennai
node-349027524,349027524,12.877192,80.13645,0,0,terminal,Chennai
node-349027525,349027525,12.879332,80.136744,0,0,terminal,Chennai
node-349027526,349027526,12.879776,80.13605,0,0,terminal,Chennai
node-349027527,349027527,12.880641,80.136194,0,0,terminal,Chennai
node-3878461275,3878461275,12.879456,80.136701,0,0,terminal,Chennai
node-3878461276,3878461276,12.879491,80.1366,0,0,terminal,Chennai
node-3878461277,3878461277,12.879569,80.136193,0,0,terminal,Chennai
node-3878461278,3878461278,12.879614,80.136069,0,0,terminal,Chennai
node-7771792679,7771792679,12.876422,80.135969,0,0,terminal,Chennai
node-7771792784,7771792784,12.878942,80.136718,0,0,terminal,Chennai
node-7771792820,7771792820,12.878451,80.13666,0,0,terminal,Chennai
node-7771792821,7771792821,12.876365,80.135931,0,0,terminal,Chennai
node-7771792938,7771792938,12.875203,80.135215,0,0,terminal,Chennai
node-7771792940,7771792940,12.880964,80.136158,0,0,terminal,Chennai
node-7771792941,7771792941,12.879409,80.136743,0,0,terminal,Chennai
node-7771792942,7771792942,12.877398,80.136536,0,0,terminal,Chennai
node-7771792943,7771792943,12.876509,80.136026,0,0,terminal,Chennai
node-7771792944,7771792944,12.876033,80.135602,0,0,terminal,Chennai
node-7771792945,7771792945,12.875816,80.13542,0,0,terminal,Chennai
node-7786739469,7786739469,12.880849,80.136197,0,0,terminal,Chennai
node-7786739470,7786739470,12.880752,80.136206,0,0,terminal,Chennai
node-7786739471,7786739471,12.879701,80.13604,0,0,terminal,Chennai
node-10633528983,10633528983,12.879908,80.136065,0,0,terminal,Chennai
node-11046127428,11046127428,12.876196,80.135777,0,0,terminal,Chennai
node-349027528,349027528,12.88333,80.135703,0,0,terminal,Chennai
node-349027529,349027529,12.885447,80.135684,0,0,terminal,Chennai
node-2185139056,2185139056,12.886982,80.136131,0,0,terminal,Chennai
node-3878461279,3878461279,12.881361,80.136019,0,0,terminal,Chennai
node-3878461280,3878461280,12.882018,80.135863,0,0,terminal,Chennai
node-3878461282,3878461282,12.882617,80.135758,0,0,terminal,Chennai
node-3878461307,3878461307,12.884208,80.135628,0,0,terminal,Chennai
node-3878461335,3878461335,12.88486,80.135628,0,0,terminal,Chennai
node-3878461500,3878461500,12.886001,80.135837,0,0,terminal,Chennai
node-3878461546,3878461546,12.886842,80.136089,0,0,terminal,Chennai
node-3878461565,3878461565,12.887269,80.136271,0,0,terminal,Chennai
node-7771792634,7771792634,12.884009,80.135642,0,0,terminal,Chennai
node-7786739465,7786739465,12.883842,80.135671,0,0,terminal,Chennai
node-7786739466,7786739466,12.882995,80.135713,0,0,terminal,Chennai
node-7786739467,7786739467,12.882836,80.135724,0,0,terminal,Chennai
node-7786739468,7786739468,12.881607,80.135947,0,0,terminal,Chennai
node-7803712781,7803712781,12.88646,80.135975,0,0,terminal,Chennai
