water_body_id,osm_id,osm_type,name,category,water_type,latitude,longitude,city
wb-way-23047572,23047572,way,Whale Island,wetland,wetland,13.013576,80.264488,Chennai
wb-way-23047573,23047573,way,Unnamed Wetland (wb-way-23047573),wetland,wetland,13.014764,80.267977,Chennai
wb-way-23633592,23633592,way,Porur Lake,lake,water,13.034,80.149965,Chennai
wb-way-23648227,23648227,way,Kadaperi Lake,lake,reservoir,12.93446,80.118334,Chennai
wb-way-23648228,23648228,way,Irumbuliyur Lake,lake,reservoir,12.921538,80.107613,Chennai
wb-way-23648229,23648229,way,Chitlapakkam Lake,lake,reservoir,12.933734,80.136154,Chennai
wb-way-23648233,23648233,way,Tiruneermalai Eri,lake,reservoir,12.953883,80.123555,Chennai
wb-way-23804000,23804000,way,ICF Lake,lake,reservoir,13.1034,80.217535,Chennai
wb-way-23885099,23885099,way,Kandaswami Muthukumaraswami Koil Kulam,pond,pond,13.085792,80.278662,Chennai
wb-way-24270420,24270420,way,Kapaleeshwara Koil Kulam,pond,pond,13.033437,80.268681,Chennai
wb-way-24270487,24270487,way,Athikesvara Perumal Koil Kulam,pond,pond,13.031424,80.271018,Chennai
wb-way-25391800,25391800,way,Ambattur Lake,lake,reservoir,13.10633,80.142336,Chennai
wb-way-25394157,25394157,way,Puzhal Lake,lake,reservoir,13.164964,80.163153,Chennai
wb-way-25394523,25394523,way,Sholavaram Lake,lake,reservoir,13.223799,80.140506,Chennai
wb-way-25450412,25450412,way,Unnamed Reservoir (wb-way-25450412),reservoir,reservoir,13.245557,80.331398,Chennai
wb-way-25453624,25453624,way,Chembarambakkam Lake,lake,reservoir,13.007925,80.050783,Chennai
wb-way-25474612,25474612,way,Korattur Lake,lake,lake,13.123526,80.181403,Chennai
wb-way-25474749,25474749,way,Retteri Lake,lake,reservoir,13.140762,80.210686,Chennai
wb-way-25504265,25504265,way,Velachery Lake,lake,lake,12.988244,80.211503,Chennai
wb-way-25724261,25724261,way,Adambakkam Lake,lake,reservoir,12.986292,80.196684,Chennai
wb-way-25724278,25724278,way,Pannachiamman Koil Tank,pond,pond,12.984461,80.187869,Chennai
wb-way-25725027,25725027,way,Madipakkam Lake,lake,lake,12.961367,80.190922,Chennai
wb-way-25726316,25726316,way,Puzhuthivakkam Lake,lake,lake,12.968566,80.202121,Chennai
wb-way-26433707,26433707,way,Sembakkam lake,lake,lake,12.933662,80.153411,Chennai
wb-way-26800736,26800736,way,Retteri Lake,lake,reservoir,13.152073,80.213993,Chennai
wb-way-27203001,27203001,way,Ellaiamman Koil Kulam,pond,pond,13.034107,80.225076,Chennai
wb-way-27771449,27771449,way,Vadapalani Murugan Temple Pond,reservoir,reservoir,13.052985,80.214264,Chennai
wb-way-28260258,28260258,way,Vadakkapattu Lake,lake,lake,12.930461,80.185608,Chennai
wb-way-28260431,28260431,way,Nanmangalam Lake,lake,lake,12.939367,80.167018,Chennai
wb-way-28260577,28260577,way,Selaiyur Lake,lake,water,12.916168,80.132239,Chennai
wb-way-28261148,28261148,way,Balaji Nagar Lake,lake,water,12.914118,80.111171,Chennai
wb-way-28309481,28309481,way,Unnamed Reservoir (wb-way-28309481),reservoir,reservoir,12.969293,80.171828,Chennai
wb-way-28309498,28309498,way,Unnamed Pond (wb-way-28309498),pond,water,12.969594,80.16854,Chennai
wb-way-28309593,28309593,way,Unnamed Pond (wb-way-28309593),pond,water,12.968135,80.167888,Chennai
wb-way-28309687,28309687,way,Tirisulam Lake,lake,water,12.973534,80.168763,Chennai
wb-way-28310149,28310149,way,Unnamed Pond (wb-way-28310149),pond,water,12.978569,80.172295,Chennai
wb-way-28310161,28310161,way,Unnamed Pond (wb-way-28310161),pond,water,12.980216,80.172553,Chennai
wb-way-29047592,29047592,way,Marundeeshwara Temple Tank,pond,pond,12.985569,80.261427,Chennai
wb-way-29241216,29241216,way,Agathishwara Perumal Koil Kulam,pond,pond,13.060038,80.241908,Chennai
wb-way-29246065,29246065,way,Periyathoppu Lake,lake,reservoir,13.169495,80.252638,Chennai
wb-way-30037018,30037018,way,Oxidation Pond,pond,pond,12.990827,80.240394,Chennai
wb-way-30037019,30037019,way,Oxidation Pond,pond,pond,12.989014,80.240111,Chennai
wb-way-30078793,30078793,way,Kovilpadagai Lake,lake,reservoir,13.146782,80.096911,Chennai
wb-way-30118530,30118530,way,Unnamed Reservoir (wb-way-30118530),reservoir,reservoir,12.949735,80.131353,Chennai
wb-way-30209756,30209756,way,Vengambakkam Lake,lake,reservoir,12.869277,80.125102,Chennai
wb-way-30424450,30424450,way,Perumbakkam Lake,lake,water,12.896483,80.188762,Chennai
wb-way-30606822,30606822,way,Velachery Lake,lake,water,12.985791,80.220753,Chennai
